Developer,Repo Name,Number of Stars
OpenDiablo2,OpenDiablo2,"1,994"
CorentinJ,Real-Time-Voice-Cloning,"11,014"
menzi11,BullshitGenerator,"8,198"
quay,quay,921
huangwei9527,quark-h5,550
dragen1860,Deep-Learning-with-TensorFlow-book,839
chai2010,advanced-go-programming-book,"10,385"
MaximAbramchuck,awesome-interview-questions,"31,447"
fengdu78,lihang-code,"8,494"
bytecodealliance,cranelift,"2,265"
abhat222,Data-Science--Cheat-Sheet,"13,550"
bytecodealliance,wasmtime,"1,811"
async-rs,async-std,"1,549"
jgraph,drawio,"13,425"
material-components,material-components-android-examples,433
realm,realm-cocoa,"13,584"
haizlin,fe-interview,"8,154"
grpc,grpc-go,"9,998"
jasminmif,react-interactive-paycard,627
2227324689,gpmall,"2,552"
jobbole,awesome-programming-books,"9,402"
Alamofire,Alamofire,"32,350"
aelassas,Wexflow,"1,582"
go-playground,validator,"4,029"
desktop,desktop,"8,346"
